coadd_object_id,ra,dec,flags_g,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i
1083294301,9.214466,-33.425727,0,25.30161476135254,24.90306854248047,24.89221954345703,0.1890852302312851,0.17832034826278687,0.3239106833934784
1083294380,9.217805,-33.426594,0,25.68736457824707,24.5562686920166,25.024246215820312,0.501856803894043,0.23668493330478668,0.6364442706108093
1083293807,9.209126,-33.420611,0,25.8532772064209,25.596370697021484,24.848421096801758,0.3102421164512634,0.33401477336883545,0.30898362398147583
1083293649,9.220676,-33.420383,0,20.18108367919922,19.252260208129883,18.941417694091797,0.004241729620844126,0.0025296462699770927,0.003101532580330968
1083293520,9.231891,-33.417325,0,25.999629974365234,26.058862686157227,25.43031120300293,0.45573726296424866,0.6615878939628601,0.6523725986480713
1083294839,9.238718,-33.431349,0,25.511310577392578,25.36920738220215,25.449230194091797,0.2079465687274933,0.26042982935905457,0.46715375781059265
1083294970,9.242307,-33.432892,0,26.452939987182617,25.238441467285156,25.275184631347656,0.8229078650474548,0.3651256263256073,0.6643742918968201
1083294714,9.236122,-33.430116,0,26.66010093688965,25.47750473022461,25.112640380859375,1.0367283821105957,0.47179707884788513,0.5929408669471741
1083294628,9.251214,-33.430638,2,22.55048942565918,21.067373275756836,19.658409118652344,0.03164946660399437,0.011095402762293816,0.0053536556661129
1083294653,9.258059,-33.429311,0,26.805179595947266,25.15017318725586,25.88762664794922,0.8932701349258423,0.2640928626060486,0.9156630039215088
1083294654,9.259608,-33.429362,0,25.76605224609375,25.47535514831543,25.265989303588867,0.2916710078716278,0.3028819262981415,0.4393812417984009
1083294390,9.253767,-33.426708,0,25.144481658935547,25.194543838500977,24.698028564453125,0.15881666541099548,0.2201474905014038,0.2526291310787201
1083294021,9.237204,-33.422921,0,25.79812240600586,25.1063289642334,24.84262466430664,0.3054769039154053,0.2220437079668045,0.3062652349472046
1083293815,9.237726,-33.420697,0,26.93781089782715,25.133249282836914,25.288915634155273,1.23847496509552,0.32316192984580994,0.6562478542327881
1083293485,9.245311,-33.417162,0,24.170734405517578,22.670801162719727,21.094127655029297,0.12840092182159424,0.044577647000551224,0.018391162157058716
1083294035,9.250304,-33.42297,0,26.320255279541016,25.00386619567871,25.457042694091797,0.7153893709182739,0.2925610840320587,0.781879186630249
1083293890,9.256302,-33.421589,0,24.645139694213867,24.391080856323242,24.22939682006836,0.14411813020706177,0.15655860304832458,0.23702867329120636
1083293469,9.259416,-33.417779,0,22.39689826965332,20.905912399291992,19.476083755493164,0.028801489621400833,0.010197469033300877,0.004832294303923845
1083293038,9.212144,-33.412178,0,24.530893325805664,23.822654724121094,23.716556549072266,0.1280488520860672,0.0909406989812851,0.1513386219739914
1083293258,9.22214,-33.41458,0,24.778282165527344,24.916141510009766,25.416427612304688,0.15143463015556335,0.23584380745887756,0.6570286750793457
1083292900,9.223239,-33.410707,0,25.63164710998535,24.999372482299805,25.592693328857422,0.2751835882663727,0.21132300794124603,0.6416728496551514
1083292843,9.230137,-33.409949,3,24.32464027404785,24.206632614135742,23.673566818237305,0.18236321210861206,0.22473816573619843,0.24204809963703156
1083292721,9.235047,-33.408751,0,25.176738739013672,23.358718872070312,22.896638870239258,0.2865939736366272,0.07404163479804993,0.08494413644075394
1083292638,9.209567,-33.407811,0,24.763763427734375,23.352357864379883,21.610313415527344,0.20803438127040863,0.07750912755727768,0.028706029057502747
1083292593,9.228364,-33.407159,0,24.447786331176758,24.37848663330078,25.975412368774414,0.16114242374897003,0.2078624963760376,1.5903671979904175
