source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
5003187100801924480,14.700872604704958,-34.09437165513554,20.269619,20.585196,19.804264
5003187337024113152,14.674304187376602,-34.08686820864073,19.129293,20.47178,18.0117
5003187341318692864,14.686531617354301,-34.08285769861817,20.64697,21.167126,19.793842
5003187337024114176,14.672206188950382,-34.07735065226704,19.161142,20.45268,18.042265
5003187169521382400,14.702219010843592,-34.08102139907071,15.785255,16.121971,15.289612
5003187547476910720,14.715538512499108,-34.07115592825151,18.811008,19.522236,18.05581
5003184523821528704,14.735650525141132,-34.10133451239071,15.055038,15.369903,14.571329
5003184455101042688,14.744194667535515,-34.10305028024549,21.03016,21.072935,20.41839
5003184489460778880,14.755203427884197,-34.10185992640646,20.751204,21.23739,19.65535
5003184558180257664,14.745137574531626,-34.09186410014894,21.65727,20.699781,18.871597
5003184485165644672,14.753118185990004,-34.09280783147662,19.295574,20.100285,18.46375
5003184519525383296,14.733813474450594,-34.08520833578014,20.67576,20.821148,20.092197
5003187508822621952,14.73540165378475,-34.07318741727988,18.352152,19.147507,17.509165
5003187513117386368,14.738188889678222,-34.068091043873935,20.2381,20.702837,19.67067
5003184661258889216,14.753021601179103,-34.07398050491837,19.864605,20.275425,19.26606
5003184691324076288,14.76774094176516,-34.06557543808226,20.00138,20.276215,19.621674
5003183454373492736,14.789499819175186,-34.126072462737625,20.676516,21.143492,20.224983
5003183561748855552,14.80246622046196,-34.12233657706428,17.695723,18.629395,16.713531
5003183493028477952,14.81116696704549,-34.119323383316186,21.160566,21.744688,20.293495
5003183527387610368,14.811841481901265,-34.118233023223226,20.611296,21.43544,19.426264
5003184214582866816,14.778453880647634,-34.11340984109875,20.944923,21.024755,20.17877
5003183527389117056,14.822096570381802,-34.10672874907797,17.600061,17.86584,17.195913
5003184931841667072,14.86509081497088,-34.10299298020423,20.227133,20.31382,20.041668
5003185138000268032,14.85240346971514,-34.09061025861357,20.485104,21.312426,19.278109
5003184931841670272,14.865074218796687,-34.095400185843964,19.66173,20.446016,18.87288
5003184347726691072,14.792907991633445,-34.09697670264963,19.539593,20.056665,18.971884
5003184352022837248,14.798401614366417,-34.09207519905038,17.962534,19.06019,16.919853
5003185898211190016,14.799503202374556,-34.07830595681906,21.7341,20.369198,18.758093
5003185829490562560,14.817409230263364,-34.084863228535866,20.727531,21.842318,19.556732
